submission_pk,User,SAUC,IG,NSS,CC,AUC,SIM,KL
567492,zfdsn,0.750 (1),0.790 (2),1.983 (6),0.882 (9),0.866 (1),0.746 (15),0.270 (1)
564104,Sen_Jia,0.747 (2),0.242 (21),2.080 (1),0.885 (8),0.862 (4),0.777 (9),1.027 (21)
561311,MD-SEM,0.746 (3),0.660 (10),2.058 (2),0.868 (11),0.864 (3),0.774 (10),0.568 (14)
452494,senjia,0.746 (3),0.736 (7),2.050 (3),0.886 (7),0.866 (1),0.780 (8),0.520 (12)
466533,Jack0521,0.745 (4),0.646 (11),1.928 (13),0.874 (10),0.862 (4),0.771 (11),0.489 (11)
434982,fredqi,0.745 (4),0.357 (19),2.045 (4),0.862 (13),0.862 (4),0.753 (14),1.026 (20)
409646,marcella.cornia,0.741 (5),0.538 (16),1.990 (5),0.899 (3),0.865 (2),0.793 (3),0.610 (16)
582299,TriNet,0.739 (6),0.788 (3),1.941 (10),0.890 (5),0.862 (4),0.784 (5),0.309 (2)
493281,beans,0.739 (6),0.780 (4),1.958 (8),0.903 (1),0.866 (1),0.798 (1),0.336 (5)
523228,akroner,0.739 (6),0.793 (1),1.934 (12),0.889 (6),0.865 (2),0.783 (6),0.310 (3)
435498,ysyscool,0.739 (6),0.195 (22),1.959 (7),0.902 (2),0.862 (4),0.795 (2),0.864 (19)
562461,pzy_17,0.737 (7),0.440 (18),1.939 (11),0.886 (7),0.862 (4),0.781 (7),0.667 (17)
574490,CoPoint,0.737 (7),0.743 (5),1.939 (11),0.892 (4),0.862 (4),0.785 (4),0.355 (8)
599948,Arnav14,0.736 (8),0.680 (9),1.795 (20),0.839 (19),0.856 (8),0.728 (16),0.355 (8)
586405,codalabcdw,0.736 (8),0.314 (20),1.953 (9),0.892 (4),0.860 (6),0.784 (5),0.755 (18)
532393,evamohe,0.729 (9),0.718 (8),1.820 (18),0.865 (12),0.861 (5),0.759 (12),0.341 (6)
595386,pzy17,0.728 (10),0.456 (17),1.738 (22),0.776 (22),0.837 (12),0.672 (21),0.572 (15)
466523,lvjincheng,0.726 (11),0.613 (13),1.829 (17),0.856 (15),0.855 (9),0.705 (19),0.352 (7)
410382,zhewuucas,0.726 (11),0.738 (6),1.841 (15),0.860 (14),0.859 (7),0.756 (13),0.318 (4)
438366,hallazie,0.724 (12),0.640 (12),1.804 (19),0.844 (18),0.855 (9),0.714 (18),0.341 (6)
466362,RyanLui,0.724 (12),-0.187 (23),1.838 (16),0.855 (16),0.850 (11),0.746 (15),1.208 (23)
411515,sfdodge,0.720 (13),0.646 (11),1.911 (14),0.821 (21),0.856 (8),0.722 (17),0.527 (13)
441348,hrtavakoli,0.717 (14),0.541 (15),1.773 (21),0.848 (17),0.854 (10),0.684 (20),0.384 (9)
598650,Xu_GD,0.714 (15),0.604 (14),1.795 (20),0.822 (20),0.854 (10),0.728 (16),0.463 (10)
456064,fwahhab,0.691 (16),-4.777 (25),1.611 (23),0.677 (23),0.794 (13),0.535 (23),4.942 (24)
485099,immortal3,0.619 (17),-0.380 (24),1.014 (24),0.553 (24),0.771 (14),0.573 (22),1.142 (22)
